"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/vector/Desktop/rent-a-buddy-server/dist/config/mongodb.js", "JavaScript", 0, 0, 0, 0, 28, 1, 1, 30
"/Users/vector/Desktop/rent-a-buddy-server/dist/config/razorpay.js", "JavaScript", 0, 0, 0, 0, 15, 0, 1, 16
"/Users/vector/Desktop/rent-a-buddy-server/dist/config/redis.js", "JavaScript", 0, 0, 0, 0, 16, 0, 1, 17
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/auth.controllers.js", "JavaScript", 0, 0, 0, 0, 85, 15, 1, 101
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/category.controllers.js", "JavaScript", 0, 0, 0, 0, 187, 46, 1, 234
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/event.controllers.js", "JavaScript", 0, 0, 0, 0, 587, 93, 1, 681
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/order.controllers.js", "JavaScript", 0, 0, 0, 0, 502, 139, 1, 642
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/payment.controllers.js", "JavaScript", 0, 0, 0, 0, 172, 25, 1, 198
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/post.controllers.js", "JavaScript", 0, 0, 0, 0, 116, 16, 1, 133
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/rating.controllers.js", "JavaScript", 0, 0, 0, 0, 44, 5, 1, 50
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/request.controllers.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/vector/Desktop/rent-a-buddy-server/dist/controllers/user.controllers.js", "JavaScript", 0, 0, 0, 0, 87, 18, 1, 106
"/Users/vector/Desktop/rent-a-buddy-server/dist/helper/apiResponse.helper.js", "JavaScript", 0, 0, 0, 0, 18, 0, 1, 19
"/Users/vector/Desktop/rent-a-buddy-server/dist/helper/mediaUpload.helper.js", "JavaScript", 0, 0, 0, 0, 28, 0, 1, 29
"/Users/vector/Desktop/rent-a-buddy-server/dist/index.js", "JavaScript", 0, 0, 0, 0, 111, 23, 1, 135
"/Users/vector/Desktop/rent-a-buddy-server/dist/middleware/auth.middleware.js", "JavaScript", 0, 0, 0, 0, 97, 20, 1, 118
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/category.models.js", "JavaScript", 0, 0, 0, 0, 48, 0, 1, 49
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/chat.models.js", "JavaScript", 0, 0, 0, 0, 48, 2, 1, 51
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/event.models.js", "JavaScript", 0, 0, 0, 0, 68, 0, 1, 69
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/message.models.js", "JavaScript", 0, 0, 0, 0, 69, 2, 1, 72
